Title,Description,How to perform,Specific muscles targets,Target muscle groups,Training plans associated,Training section
Butterfly,"Also known as Pec deck, the butterfly uses the machine flys to isolate the pecs on a controlled squeeze through a limited range of motion and a supported core.","Sit on the machine with your back flat on the pad.
Take hold of the handles. Tip: Your upper arms should be positioned parallel to the floor; adjust the machine accordingly. This will be your starting position.
Push the handles together slowly as you squeeze your chest in the middle. Breathe out during this part of the motion and hold the contraction for a second.
Return back to the starting position slowly as you inhale until your chest muscles are fully stretched.
Repeat for the recommended amount of repetitions.",Pectoralis major,Chest,Eccentric,Cable
EZ reverse grip row,"Similar to the reverse grip barbell bent over row, the EZ reverse grip bent over row applies a more nuetral grip of the bar due to its shape, allowing for a more controlled and natural feeling variation","Stand erect while holding a barbell with a supinated grip (palms facing up).
Bend your knees slightly and bring your torso forward, by bending at the waist, while keeping the back straight until it is almost parallel to the floor. Tip: Make sure that you keep the head up. The barbell should hang directly in front of you as your arms hang perpendicular to the floor and your torso. This is your starting position.
While keeping the torso stationary, lift the barbell as you breathe out, keeping the elbows close to the body and not doing any force with the forearm other than holding the weights. On the top contracted position, squeeze the back muscles and hold for a second.
Slowly lower the weight again to the starting position as you inhale.
Repeat for the recommended amount of repetitions.",Latissimus dorsi,Back,Strength,Free weight
EZ lat pull over,"Similar to the bent arm barbell pull over, the EZ grip applies a more nuetral grip of the bar due to its shape, allowing for a more controlled and natural feeling variation","Lie down on a flat bench while holding an EZ bar. Your hands should be about shoulder width apart.
Hold the bar directly over your chest with your arms bent. This is the starting position for the exercise.
Keeping your arms bent, lower the weight slowly behind your head in an arc. Breathe in until you feel a stretch in your chest.
Bring the bar back to the starting position in an arc. Be sure to exhale as you do so.
Hold the weight in the starting position for a second and repeat for the desired number of reps.",Serratus anterior,Back,Eccentric,Free weight
EZ bent over row,"Similar to the barbell bent over row, the EZ bent over row applies a more nuetral grip of the bar due to its shape, allowing for a more controlled and natural feeling variation","Holding a barbell with a pronated grip (palms facing down), bend your knees slightly and bring your torso forward, by bending at the waist, while keeping the back straight until it is almost parallel to the floor. Tip: Make sure that you keep the head up. The barbell should hang directly in front of you as your arms hang perpendicular to the floor and your torso. This is your starting position.
Now, while keeping the torso stationary, breathe out and lift the barbell to you. Keep the elbows close to the body and only use the forearms to hold the weight. At the top contracted position, squeeze the back muscles and hold for a brief pause.
Then inhale and slowly lower the barbell back to the starting position.
Repeat for the recommended amount of repetitions.",Rhomboid Major,Back,Eccentric,Free weight
Machine reverse fly,"Reverse flys, also spelled flyes or flies, target the muscles on the back of the shoulders. The posterior deltoids are the main muscles on the back of the shoulders. Reverse flys also work the muscles of the upper and middle back, particularly the rhomboids and traps. Bodybuilders can perform reverse flys with dumbbells, resistance bands and a cable machine. Because bodybuilding requires lifting heavy weights to stimulate muscle growth, heavy dumbbells, a machine or thick, heavy resistance bands are necessary.","Adjust the handles so that they are fully to the rear. Make an appropriate weight selection and adjust the seat height so the handles are at shoulder level. Grasp the handles with your hands facing inwards. This will be your starting position.
In a semicircular motion, pull your hands out to your side and back, contracting your rear delts.
Keep your arms slightly bent throughout the movement, with all of the motion occurring at the shoulder joint.
Pause at the rear of the movement, and slowly return the weight to the starting position.",Deltoids,Shoulders,Eccentric,Cable
Cable push down,"The triceps pushdown is one of the best exercises for triceps development. Variations include grip position and a rope handle instead of the horizontal bar. Done properly, this one really burns.","Attach a straight or angled bar to a high pulley and grab with an overhand grip (palms facing down) at shoulder width.
Standing upright with the torso straight and a very small inclination forward, bring the upper arms close to your body and perpendicular to the floor. The forearms should be pointing up towards the pulley as they hold the bar. This is your starting position.
Using the triceps, bring the bar down until it touches the front of your thighs and the arms are fully extended perpendicular to the floor. The upper arms should always remain stationary next to your torso and only the forearms should move. Exhale as you perform this movement.
After a second hold at the contracted position, bring the bar slowly up to the starting point. Breathe in as you perform this step.
Repeat for the recommended amount of repetitions.",Triceps Brachii,Arms,Hypertrophy,Cable
Rope tricep down,"The triceps pushdown is one of the best exercises for triceps development. Variations include grip position and a rope handle instead of the horizontal bar. Done properly, this one really burns.","Attach a rope attachment to a high pulley and grab with a neutral grip (palms facing each other).
Standing upright with the torso straight and a very small inclination forward, bring the upper arms close to your body and perpendicular to the floor. The forearms should be pointing up towards the pulley as they hold the rope with the palms facing each other. This is your starting position.
Using the triceps, bring the rope down as you bring each side of the rope to the side of your thighs. At the end of the movement the arms are fully extended and perpendicular to the floor. The upper arms should always remain stationary next to your torso and only the forearms should move. Exhale as you perform this movement.
After holding for a second, at the contracted position, bring the rope slowly up to the starting point. Breathe in as you perform this step.
Repeat for the recommended amount of repetitions.",Triceps Brachii,Arms,Hypertrophy,Cable
Rope tricep extension,"Overhead cable tricep extensions are a great isolation movement for developing your triceps. In particular, using a rope attachment places more emphasis on the lateral (outside) head of the tricep.","Attach a rope to a low pulley. After selecting an appropriate weight, grasp the rope with both hands and face away from the cable.
Position your hands behind your head with your elbows point straight up. Your elbows should start out flexed, and you can stagger your stance and lean gently away from the machine to create greater stability. This will be your starting position.
To perform the movement, extend through the elbow while keeping the upper arm in position, raising your hands above your head.
Squeeze your triceps at the top of the movement, and slowly lower the weight back to the start position.",Triceps Brachii,Arms,Hypertrophy,Cable
EZ bicep curl,"An EZ-bar curl is, well, easy. Stand with your feet shoulder-width apart, knees slightly bent. Hold an EZ-bar in an underhand grip with your arms extended and then curl the bar up towards your chest, keeping your elbows in to your sides. But it’s also easy to get the finer points wrong – nail your form with these tips.","Stand up straight while holding an EZ curl bar at the wide outer handle. The palms of your hands should be facing forward and slightly tilted inward due to the shape of the bar. Keep your elbows close to your torso. This will be your starting position.
Now, while keeping your upper arms stationary, exhale and curl the weights forward while contracting the biceps. Focus on only moving your forearms.
Continue to raise the weight until your biceps are fully contracted and the bar is at shoulder level. Hold the top contracted position for a moment and squeeze the biceps.
Then inhale and slowly lower the bar back to the starting position.
Repeat for the recommended amount of repetitions.",Biceps brachii,Arms,Hypertrophy,Free weight
Dumbell bicep curl,"Working your arms with curls and other variations can improve your grip strength, which can make all the difference when you’re trying to push through those last few pull-ups and other pulling exercises.","Stand up straight with a dumbbell in each hand at arm's length. Keep your elbows close to your torso and rotate the palms of your hands until they are facing forward. This will be your starting position.
Now, keeping the upper arms stationary, exhale and curl the weights while contracting your biceps. Continue to raise the weights until your biceps are fully contracted and the dumbbells are at shoulder level. Hold the contracted position for a brief pause as you squeeze your biceps.
Then, inhale and slowly begin to lower the dumbbells back to the starting position.
Repeat for the recommended amount of repetitions.",Biceps brachii,Arms,Strength,Free weight
Skull crusher,"Most exercises have rather literal names: A single-arm overhead dumbbell extension describes the movement pretty well, after all. A few others, however, are named for the part of the body they'll break if you lose control. In this class we have skullcrushers.","Lie on your back on a flat bench. Your head should be close to the end of the bench. Grasp a an EZ-bar with your palms facing forward.
Extend your arms in front of you and bring the bar back in a semi-circular motion to a position over your head. Your arms should be over your head and parallel to the floor when you complete this step.
Lower the bar by bending at the elbows, inhaling as you do so. Keep lowering the bar until your forearms are perpendicular to the floor.
Bring the bar back up to the starting position, exhaling as you do so. Contract your triceps when you get to the top of the movement.",Triceps Brachii,Arms,Eccentric,Free weight
Piston squat,"It’s probably not a surprise that squatting on one leg is harder than two legs. But what might be surprising is that it’s not just twice as hard—it’s more like three or four times harder. That is, if you’re talking about the pistol squat, a single-leg variation of the squat in which hold your non-working leg straight and parallel to the floor.

Compared to the standard squat, pistol squats are more taxing on your nervous system, lower-body muscles, and your core. ","From a standing position, raise one foot off the floor. You should be looking directly forward, with your chest up, knees and hips slightly bent, and your back straight. This will be your starting position.
Descend into a squat by flexing your hips and knee. As you squat, extend the non-working leg forward to allow clearance for your movement. Descend slowly, paying close attention to balance and proper movement mechanics, going as far as your flexibility allows.
Hold the bottom position briefly and then return to the start by extending through the hips and knee, driving through the heel of your working foot.
Repeat for the desired number of repetitions, then switch sides.",Quadriceps,Legs,Hypertrophy,Core
Farmers walk,There are various implements that can be used for the farmers walk. These can also be performed with heavy dumbbells or short bars if these implements aren't available. ,"Begin by standing between the implements.
After gripping the handles, lift them up by driving through your heels, keeping your back straight and your head up.
Walk taking short, quick steps, and don't forget to breathe. Move for a given distance, typically 50-100 feet, as fast as possible.",Trapezius,Shoulders,Strength,Free weight
Russian twists,This rotational move works your obliques and entire core to give you a strong foundation for all sports,"Lie down on the floor placing your feet either under something that will not move or by having a partner hold them. Your legs should be bent at the knees.
Elevate your upper body so that it creates an imaginary V-shape with your thighs. Your arms should be fully extended in front of you perpendicular to your torso and with the hands clasped. This is the starting position.
Twist your torso to the right side until your arms are parallel with the floor while breathing out.
Hold the contraction for a second and move back to the starting position while breathing out. Now move to the opposite side performing the same techniques you applied to the right side.
Repeat for the recommended amount of repetitions.",External oblique,Core,Calisthetic,Core
